event_id	pos_id	exon_a	exon_b	intron_a1	intron_a2	intron_b1	intron_b2	strand	gene_id	gene_name	label	ref_junction_a1	ref_junction_a2	ref_junction_b1	ref_junction_b2	ref_PSI	alt_junction_a1	alt_junction_a2	alt_junction_b1	alt_junction_b2	alt_PSI	dPSI	OR_junction_a1b1	p_junction_a1b1	OR_junction_a1b2	p_junction_a1b2	OR_junction_a2b1	p_junction_a2b1	OR_junction_a2b2	p_junction_a2b2	p_maximum	q	Diff events	WT_F_1_PSI	WT_F_2_PSI	WT_F_3_PSI	KO_F_1_PSI	KO_M_3_PSI	KO_M_4_PSI	p_ttest
MXE_119	MXE@chr2@120371632@120373911-120373979@120374488-120374559@120375419	chr2:120373911-120373979	chr2:120374488-120374559	chr2:120371632-120373911	chr2:120373979-120375419	chr2:120371632-120374488	chr2:120374559-120375419	-	ENSMUSG00000033808	Tmem87a	annotated	1800	2016	436	388	0.8224137931034483	2020	2122	136	99	0.9463102581676948	0.12389646506424645	0.2779544009446816	3.6228906261940275e-40	0.22736552005716035	3.659041662792397e-44	0.29634497488088957	1.3116158317305474e-36	0.24240893146904788	1.5281109794286694e-40	1.3116158317305474e-36	2.0067722225477373e-34	Yes	0.8249744114636642	0.7991858887381276	0.8560606060606061	0.94164265129683	0.945127719962157	0.9503105590062112	0.016769360347537336
MXE_208	MXE@chr7@28907064@28909903-28909988@28911490-28911575@28912240	chr7:28909903-28909988	chr7:28911490-28911575	chr7:28907064-28909903	chr7:28909988-28912240	chr7:28907064-28911490	chr7:28911575-28912240	-	ENSMUSG00000054808	Actn4	annotated	59	52	583	545	0.08958837772397095	195	194	474	510	0.2833211944646759	0.19373281674070497	0.2459955139200422	1.1542748433381156e-20	0.2831333803810868	8.403018601480948e-17	0.21792718077487577	7.332128213683944e-23	0.250827579684101	6.27380304987514e-19	8.403018601480948e-17	3.2141546150664623e-15	Yes	0.09859154929577464	0.10935023771790808	0.0	0.32934131736526945	0.26031746031746034	0.27209944751381215	0.009893103406267933
MXE_184	MXE@chr6@112749422@112750381-112750411@112754571-112754673@112759749	chr6:112750381-112750411	chr6:112754571-112754673	chr6:112749422-112750381	chr6:112750411-112759749	chr6:112749422-112754571	chr6:112754673-112759749	-	ENSMUSG00000030257	Srgap3	annotated	0	0	369	533	0.0	49	63	462	475	0.10676835081029552	0.10676835081029552	0.0	1.864762378758089e-12	0.0	3.565256175203767e-16	0.0	1.0073754139497282e-15	0.0	3.274297482731739e-20	1.864762378758089e-12	5.706172878999752e-11	Yes	0.0	0.0	0.0	0.18449197860962566	0.11971830985915492	0.023017902813299233	0.14564673073554948
MXE_52	MXE@chr14@33388982@33390242-33390313@33390673-33390744@33392942	chr14:33390242-33390313	chr14:33390673-33390744	chr14:33388982-33390242	chr14:33390313-33392942	chr14:33388982-33390673	chr14:33390744-33392942	-	ENSMUSG00000021936	Mapk8	annotated	272	234	137	175	0.6185819070904646	405	467	71	112	0.8265402843601896	0.207958377269725	0.3480580337028026	8.372918537976235e-11	0.4298271604938272	3.866196745716264e-09	0.2596789571578174	1.3969709186305562e-16	0.32068522483940043	2.5913024361134027e-15	3.866196745716264e-09	9.858801701576474e-08	Yes	0.8100558659217877	0.5625	0.5669515669515669	0.8447653429602888	0.6774193548387096	0.931350114416476	0.1970256413339887
MXE_75	MXE@chr17@28728975@28737011-28737090@28740680-28740759@28741788	chr17:28737011-28737090	chr17:28740680-28740759	chr17:28728975-28737011	chr17:28737090-28741788	chr17:28728975-28740680	chr17:28740759-28741788	+	ENSMUSG00000053436	Mapk14	annotated	244	251	157	150	0.6172069825436409	356	418	114	95	0.7873855544252288	0.17017857188158791	0.49767408573677807	2.495395176745734e-06	0.43408239700374535	6.0999102036017e-08	0.4360162130862768	1.2895148813232612e-08	0.3803030303030303	1.9929292011785377e-10	2.495395176745734e-06	4.772443275526216e-05	Yes	0.6472868217054264	0.6819277108433734	0.3488372093023256	0.8111455108359134	0.7490636704119851	0.7938931297709924	0.16322202593328605
MXE_126	MXE@chr2@14963982@14967942-14968075@14968218-14968237@14971562	chr2:14967942-14968075	chr2:14968218-14968237	chr2:14963982-14967942	chr2:14968075-14971562	chr2:14963982-14968218	chr2:14968237-14971562	+	ENSMUSG00000057914	Cacnb2	annotated	0	1	12	12	0.04	19	21	8	4	0.7692307692307693	0.7292307692307692	0.0	4.509515076812073e-05	0.0	2.181072651530022e-06	0.031746031746031744	0.00013113034356150016	0.015873015873015872	7.497760418962857e-06	0.00013113034356150016	0.0022292158405455027	Yes	0.04			1.0	0.7777777777777778	0.0	
MXE_109	MXE@chr1@176955923@176957180-176957310@177011889-177012015@177020115	chr1:176957180-176957310	chr1:177011889-177012015	chr1:176955923-176957180	chr1:176957310-177020115	chr1:176955923-177011889	chr1:177012015-177020115	+	ENSMUSG00000026504	Sdccag8	unannotated	12	12	43	128	0.12307692307692308	0	0	144	123	0.0	-0.12307692307692308	inf	7.641735040196506e-08	inf	0.0004923969137014682	inf	7.641735040196506e-08	inf	0.0004923969137014682	0.0004923969137014682	0.007528566463597561	Yes	0.0	0.23300970873786409	0.0	0.0	0.0	0.0	0.42264973081037416
MXE_142	MXE@chr2@92349448@92351609-92351631@92351701-92351864@92356864	chr2:92351609-92351631	chr2:92351701-92351864	chr2:92349448-92351609	chr2:92351631-92356864	chr2:92349448-92351701	chr2:92351864-92356864	+	ENSMUSG00000058318	Phf21a	annotated	71	54	190	172	0.25667351129363447	24	26	272	201	0.09560229445506692	-0.16107121683856757	4.235087719298246	2.0462478342648168e-09	3.457122093023256	5.483155994951837e-07	2.9732793522267205	1.5980190365947594e-05	2.427101967799642	0.0005412694843109357	0.0005412694843109357	0.007528566463597561	Yes	0.23140495867768596	0.22727272727272727	0.3387096774193548	0.11965811965811966	0.16494845360824742	0.018867924528301886	0.04502982989367861
MXE_8	MXE@chr10@80410274@80410398-80410621@80412827-80413062@80413205	chr10:80410398-80410621	chr10:80412827-80413062	chr10:80410274-80410398	chr10:80410621-80413205	chr10:80410274-80412827	chr10:80413062-80413205	-	ENSMUSG00000020167	Tcf3	annotated	1146	19	469	382	0.5778769841269841	443	3	372	301	0.39857015192135836	-0.1793068322056257	2.0518754181366625	9.976181661363166e-16	2.038374717832957	1.0049908384985802e-13	5.023454157782516	0.003935910500345038	4.990401396160559	0.0039862288935080745	0.0039862288935080745	0.04322310645946485	Yes	0.5737704918032787	0.5157750342935528	0.6325581395348837	0.388646288209607	0.39461883408071746	0.410958904109589	0.030789296360938714
MXE_17	MXE@chr11@54335125@54336936-54337013@54337071-54337148@54338412	chr11:54336936-54337013	chr11:54337071-54337148	chr11:54335125-54336936	chr11:54337013-54338412	chr11:54335125-54337071	chr11:54337148-54338412	+	ENSMUSG00000020333	Acsl6	annotated	576	682	17017	16353	0.03632898232644103	1027	1351	16438	15156	0.06999882255975509	0.03366984023331406	0.5417738227177484	8.385286692676367e-32	0.51980350031805	4.723035828740267e-36	0.4876351497155259	8.233109030272401e-53	0.4678602897953248	1.1149103078081236e-58	8.385286692676367e-32	6.414744319897421e-30	No	0.03912252325111201	0.043099025141098	0.021762904636920384	0.07597340930674264	0.07276828110161443	0.06337271750805586	0.015141544763473378
MXE_240	MXE@chr9@59672073@59675029-59675195@59675568-59675734@59678044	chr9:59675029-59675195	chr9:59675568-59675734	chr9:59672073-59675029	chr9:59675195-59678044	chr9:59672073-59675568	chr9:59675734-59678044	+	ENSMUSG00000032294	Pkm	annotated	958	873	19163	14200	0.052025913507984314	1049	1077	13230	9733	0.0847383315397186	0.03271241803173429	0.6305018503892177	1.8439527675704017e-23	0.6259626203359336	1.0900810422921989e-23	0.5596221362633452	2.770066260732223e-35	0.5555931970654008	1.6467052883386028e-35	1.8439527675704017e-23	9.404159114609049e-22	No	0.037142857142857144	0.05845953427780492	0.055641858494562914	0.08070923360139522	0.10426913240212472	0.07878162106350026	0.025483691284616444
MXE_230	MXE@chr9@21478348@21478899-21479037@21480407-21480545@21481333	chr9:21478899-21479037	chr9:21480407-21480545	chr9:21478348-21478899	chr9:21479037-21481333	chr9:21478348-21480407	chr9:21480545-21481333	+	ENSMUSG00000033335	Dnm2	annotated	189	238	642	949	0.211595639246779	97	132	838	944	0.11387369467926405	-0.09772194456751494	2.5433086039117447	1.7697670696208978e-12	1.938187783124939	4.6072417357431365e-07	2.353488152553573	5.604275560268318e-13	1.793530670242999	5.139490417737032e-07	5.139490417737032e-07	1.1233457627339513e-05	No	0.20029673590504452	0.13685636856368563	0.31518151815181517	0.1103202846975089	0.1704781704781705	0.0878099173553719	0.20456820351832816
MXE_6	MXE@chr10@59352259@59354340-59354410@59355350-59355420@59361861	chr10:59354340-59354410	chr10:59355350-59355420	chr10:59352259-59354340	chr10:59354410-59361861	chr10:59352259-59355350	chr10:59355420-59361861	+	ENSMUSG00000019916	P4ha1	annotated	2798	2368	2923	2698	0.4789097988319273	3048	2783	2773	2606	0.5201605709188225	0.041250772086895204	0.870870945699013	0.00021128093538836897	0.8866765310748314	0.0015404903708855931	0.8072155992304089	2.713155558438455e-08	0.821865892862708	5.986700027305906e-07	0.0015404903708855931	0.019641252228791314	No	0.5221039044853178	0.5083395107487028	0.3512216404886562	0.4968814968814969	0.5328947368421053	0.52841973766396	0.39590226187096555
MXE_26	MXE@chr12@80169016@80170183-80170248@80170686-80170766@80171729	chr12:80170183-80170248	chr12:80170686-80170766	chr12:80169016-80170183	chr12:80170248-80171729	chr12:80169016-80170686	chr12:80170766-80171729	-	ENSMUSG00000015143	Actn1	annotated	0	30	72	43	0.20689655172413793	17	8	76	91	0.13020833333333334	-0.07668821839080459	0.0	3.555994461088615e-05	0.0	0.003325685118473279	3.9583333333333335	0.0008884094104637643	7.936046511627907	4.975495603210236e-07	0.003325685118473279	0.03914075562510859	No	0.0	0.0	0.7142857142857143	0.0	0.2	0.16981132075471697	0.681766378132534
MXE_143	MXE@chr3@106505852@106512803-106512887@106520009-106520093@106531137	chr3:106512803-106512887	chr3:106520009-106520093	chr3:106505852-106512803	chr3:106512887-106531137	chr3:106505852-106520009	chr3:106520093-106531137	-	ENSMUSG00000040774	Cept1	annotated	4525	4127	34	7	0.9952835614862533	3307	3128	7	18	0.9961300309597523	0.0008464694734989786	0.28171080951279814	0.0012076169939580807	3.5185105188129078	0.0037000184161630526	0.271635700315932	0.000693364329536088	3.392674461088783	0.00423755945681028	0.00423755945681028	0.04322310645946485	No	0.9995145631067961	0.9880489991036749	1.0	1.0	0.9918546365914787	0.9958391123439667	0.9929542576079525
